Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Proposed Heterodyne Receiver for the Origins Space Telescope,M. C. Wiedner; I. Mehdi; A. Baryshev; V. Belitsky; V. Desmaris; A. M. DiGiorgio; J. Gallego; M. Gerin; P. Goldsmith; F. Helmich; W. Jellema; A. Laurens; C. Risacher; A. Cooray; M. Meixner,"Sorbonne Université, Observatoire de Paris, Université PSL, CNRS, LERMA, Paris, France; NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; Kapteyn Astronomical Institute, University of Groningen, Groningen, The Netherlands; Group for Advanced Receiver Development, Department of Space, Earth and Environment, Chalmers University of Technology, Gothenburg, Sweden; Group for Advanced Receiver Development, Department of Space, Earth and Environment, Chalmers University of Technology, Gothenburg, Sweden; Istituto Nazionale di Astrofisica–Istituto di Astrofisica e Planetologia Spaziali, Rome, Italy; Centro Astronómico de Yebes, Observatorio Astronómico Nacional, Guadalajara, Spain; Sorbonne Université, Observatoire de Paris, Université PSL, CNRS, LERMA, Paris, France; NASA Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA; SRON Netherlands Institute for Space Research, Groningen, The Netherlands; SRON Netherlands Institute for Space Research, Groningen, The Netherlands; Centre National d'Études Spatiales, Toulouse, France; Max-Planck-Institut für Radioastronomie, Bonn, Germany; Department of Physics & Astronomy, University of California at Irvine, Irvine, CA, USA; Space Telescope Science Institute, Baltimore, MD, USA",IEEE Transactions on Terahertz Science and Technology,,2018,8,6,558,571,"The HEterodyne Receiver for the Origins Space Telescope (HERO) is a proposed design for a heterodyne focal plane array for a large space mission. The Origins Space Telescope (OST) is one of the four missions selected to be studied by NASA for the 2020 Astronomy and Astrophysics Decadal survey. HERO is designed to observe the trail of water from the interstellar medium (ISM) to disks around protostars. In Concept 1, HERO provides continuous frequency coverage from 468 to 2700 GHz in five bands and a sixth band to cover 4700 GHz. Most bands include 2 × 64 pixels providing at least an order of magnitude higher mapping speeds than available with today's instruments. Receiver sensitivities are expected to be close to the quantum limit. HERO Concept 2, highly constrained by cost and denoted Little-HERO, includes four bands with continuous coverage from 486 to 2700 GHz and with focal plane arrays having only 2 × 9 pixels per band. Both of these THz receiver concepts will be described and the designs will be motivated by the science drivers, the space craft constraints and the latest technological developments. The HERO design builds on the highly successful Herschel/Heterodyne Instrument for the Far-Infrared, on Stratospheric Observatory for Far-Infrared Astronomy/upGREAT and many other heterodyne receivers, but surpasses these in terms of frequency coverage, array size and sensitivity, thanks to the latest technical advances. HERO can be considered an example of a new generation of heterodyne focal plane arrays for future space missions.",2156-342X;2156-3446,,10.1109/TTHZ.2018.2876093,Centre National d'Etudes Spatiales; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491320,Array receivers;far-infrared (far-IR) space instruments;heterodyne instruments;heterodyne receivers;THz astronomy;THz detectors,Receivers;Telescopes;Aerospace electronics;Mixers;Space missions;Observatories,astronomical instruments;astronomical telescopes;astronomy computing;focal planes;heterodyne detection;infrared astronomy;radiotelescopes;submillimetre wave spectroscopy,Heterodyne Receiver;Origins Space Telescope;HEterodyne Receiver;heterodyne focal plane array;space mission;HERO Concept 2;Little-HERO;HERO design;heterodyne receivers;space craft;Herschel/Heterodyne Instrument;frequency 468.0 GHz to 2700.0 GHz;frequency 486.0 GHz to 2700.0 GHz;frequency 4700.0 GHz,,,110,,,,,,IEEE,IEEE Journals & Magazines
A Channel Model and Soft-Decision Helper Data Algorithms for ROPUFs,S. Mueelich; S. Puchinger; V. Stukalov; M. Bossert,NA; NA; NA; NA,"SCC 2019; 12th International ITG Conference on Systems, Communications and Coding",,2019,,,1,6,"Physical Unclonable Functions (PUFs) are hardware primitives that can generate reproducible responses based on intrinsic randomness inside the device. These responses can be used for cryptographic purposes like key generation or key storage. Since PUF outputs are noisy, error-correcting codes have to be used. In this work, we derive a channel model for Ring-Oscillator Physical Unclonable Functions (ROPUFs) by deriving a response distribution. We use the gained soft information in order to propose a new soft-decision Helper Data Algorithm (HDA) that significantly improves previous results.",,978-3-8007-4862,10.30420/454862043,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661340,,,,,,,,,,,,,VDE,VDE Conferences
Front Matter,P. Marsch; Ö. Bulakci; O. Queseth; M. Boldi,NA; NA; NA; NA,5G System Design: Architectural and Functional Considerations and Long Term Research,,2018,,,i,xliv,"The prelims comprise:<list style=""bulleted""><listItem>Half‐Title Page</listItem><listItem>Title Page</listItem><listItem>Copyright Page</listItem><listItem>Dedication Page</listItem><listItem>Table of Contents</listItem><listItem>Contributor List</listItem><listItem>Foreword 1</listItem><listItem>Foreword 2</listItem><listItem>Acknowledgments</listItem><listItem>List of Abbreviations</listItem></list>",,97811194251,10.1002/9781119425144.fmatter,,https://ieeexplore.ieee.org,,,,,,,,2018,,,,,Wiley,
UHD Video Transmission Over Bidirectional Underwater Wireless Optical Communication,A. Al-Halafi; B. Shihada,"Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia; Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia",IEEE Photonics Journal,,2018,10,2,1,14,"In this paper, we experimentally demonstrate for the first time a bidirectional underwater wireless optical communication system that is capable of transmitting an ultrahigh definition real-time video using a downlink channel while simultaneously receiving the feedback messages on the uplink channel. The links extend up to 4.5 m using QPSK, 16-QAM, and 64-QAM modulations. The system is built using software defined platforms connected to TO-9 packaged pigtailed 520 nm directly modulated green laser diode (LD) with 1.2 GHz bandwidth as the optical transmitter for video streaming on the downlink, and an avalanche photodiode (APD) module as the downlink receiver. The uplink channel is connected to another pigtailed 450 nm directly modulated blue LD with 1.2 GHz bandwidth as the optical uplink transmitter for the feedback channel, and to a second APD as the uplink receiver. We perform laboratory experiments on different water types. The measured throughput is 15 Mb/s for QPSK, and 30 Mb/s for both 16 QAM and 64 QAM. We evaluate the quality of the received live video streams using peak signal-to-noise ratio and achieve values up to 16 dB for 64 QAM when streaming UHD video in harbor II water and 22 dB in clear ocean.",1943-0655;1943-0647,,10.1109/JPHOT.2018.2821695,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8329144,Underwater communication;bi-directional wireless optical communication;ROV;UHD video;diode lasers;QPSK;QAM;OFDM,Streaming media;Downlink;Uplink;Real-time systems;Optical transmitters;Receivers;Bidirectional control,avalanche photodiodes;optical communication;optical transmitters;quadrature amplitude modulation;quadrature phase shift keying;semiconductor lasers;video streaming,UHD video transmission;ultrahigh definition real-time video;downlink channel;feedback messages;uplink channel;64-QAM modulations;software defined platforms;video streaming;avalanche photodiode module;APD;downlink receiver;optical uplink transmitter;feedback channel;uplink receiver;received live video streams;16-QAM modulations;bidirectional underwater wireless optical communication system;directly modulated green laser diode;frequency 1.2 GHz;size 450.0 nm;noise figure 22.0 dB;noise figure 16.0 dB;size 4.5 m;size 520.0 nm,,2,25,,,,,,IEEE,IEEE Journals & Magazines
Softwarization and Network Coding in the Mobile Edge Cloud for the Tactile Internet,J. A. Cabrera; R. Schmoll; G. T. Nguyen; S. Pandi; F. H. P. Fitzek,"TU Dresden, Deutsche Telekom Chair of Communication Networks, Dresden, Germany; TU Dresden, Deutsche Telekom Chair of Communication Networks, Dresden, Germany; TU Dresden, Deutsche Telekom Chair of Communication Networks, Dresden, Germany; TU Dresden, Deutsche Telekom Chair of Communication Networks, Dresden, Germany; TU Dresden, Deutsche Telekom Chair of Communication Networks, Dresden, Germany",Proceedings of the IEEE,,2019,107,2,350,363,"Future communication systems, such as those enabling the Tactile Internet, will face disruptive changes compared to the state-of-the-art systems, which are 1) highly dynamic topology changes; 2) replacement of the end-to-end paradigm by real mesh topologies; and 3) a massive number of devices. To overcome these disruptive changes, future communication systems will substitute specialized hardware with generic hardware boxes and the softwarization paradigm. Furthermore, this approach will allow for a quick deployment of new services, which was known to the cloud service already. In this paper, we will introduce the most prominent candidates for softwarization such as software-defined networking (SDN) and network function virtualization (NFV) and explain the importance of these technologies for the upcoming 5G communication system and Tactile Internet applications realizing novel mobile edge computing, storage, and networking solutions. Specifically, we will discuss use cases of SDN/NFV such as network coding as a service, and ultrareliable distributed edge caching. Finally, we will describe our holistic testbed at the 5G Lab Germany as a fundamental step toward creating an experiment infrastructure that anticipates the 5G communication systems and Tactile Internet applications.",0018-9219;1558-2256,,10.1109/JPROC.2018.2869320,German Research Foundation (DFG) within the Collaborative Research Centre 912/Highly Adaptive Energy-Efficient Computing; Bundesministerium für Bildung und Forschung; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472148,Edge computing;network coding;network function virtualization;software-defined networking,5G mobile communication;Network coding;Cloud computing;Hardware;Encoding;Virtualization,,,,,39,,,,,,IEEE,IEEE Journals & Magazines
Ultra-Reliable IoT Communications with UAVs: A Swarm Use Case,Z. Yuan; J. Jin; L. Sun; K. Chin; G. Muntean,NA; NA; NA; NA; NA,IEEE Communications Magazine,,2018,56,12,90,96,"UAVs are powerful IoT components, offering sensing, communications and data analysis in the air. Recently, 3GPP TS 22.261, TR 22.862, and TR 36.777 have specified performance requirements for communications between multiple UAVs in the 5G domain. This article discusses communications reliability challenges in a UAV swarm context. Recommendations for designing an ultra-reliable communications system for UAV swarms are introduced with a focus on the software protocol stack and RF hardware. For the purpose of demonstration, we developed Easy- Swarm, an open-source UAV swarming platform that adopts the LoRa radio at the physical layer and a low-latency channel access protocol at the MAC layer. Real-life testbeds are built consisting of 10 UAVs and 20 robotic cars that produce background traffic. LoRa, WiFi and LTE networks are employed to provide broadband and cellular wireless network support. Results show that using LoRa leads to better reliability, in particular allowing for higher swarm density and longer coverage distance, than when WiFi is used. In addition, LTE provides the best reliability and latency for UAV swarms with good network connectivity.",0163-6804;1558-1896,,10.1109/MCOM.2018.1800161,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8570043,,Protocols;Reliability;Wireless communication;3GPP;Unmanned aerial vehicles;Hardware;Long Term Evolution,3G mobile communication;access protocols;cellular radio;Internet of Things;Long Term Evolution;multi-robot systems;protocols;radio access networks;telecommunication network reliability;telecommunication traffic;wireless LAN,swarm density;channel access protocol;swarming platform;software protocol stack;ultra-reliable communications system;UAV swarm context;communications reliability challenges;multiple UAVs;TR 36;TR 22;3GPP TS;data analysis;ultra-reliable IoT communications;UAV swarms,,,15,,,,,,IEEE,IEEE Journals & Magazines
An Efficient Data Reuse Strategy for Multi-Pattern Data Access,W. Li; F. Yang; H. Zhu; X. Zeng; D. Zhou,"State Key Lab. of ASIC & System, School of Microelectronics, Fudan University, China; State Key Lab. of ASIC & System, School of Microelectronics, Fudan University, China; State Key Lab. of ASIC & System, School of Microelectronics, Fudan University, China; State Key Lab. of ASIC & System, School of Microelectronics, Fudan University, China; State Key Lab. of ASIC & System, School of Microelectronics, Fudan University, China",2018 IEEE/ACM International Conference on Computer-Aided Design (ICCAD),,2018,,,1,8,"Memory partitioning has been widely adopted to increase the memory bandwidth. Data reuse is a hardware-efficient way to improve data access throughput by exploiting locality in memory access patterns. We found that for many applications in image and video processing, a global data reuse scheme can be shared by multiple patterns. In this paper, we propose an efficient data reuse strategy for multi-pattern data access. Firstly, a heuristic algorithm is proposed to extract the reuse information as well as find the non-reusable data elements of each pattern. Then the non-reusable elements are partitioned into several memory banks by an efficient memory partitioning algorithm. Moreover, the reuse information is utilized to generate the global data reuse logic shared by the multi-pattern. We design a novel algorithm to minimize the number of registers required by the data reuse logic. Experimental results show that compared with the state-of-the-art approach, our proposed method can reduce the number of required BRAMs by 62.2% on average, with the average reduction of 82.1% in SLICE, 87.1% in LUTs, 71.6% in Flip-Flops, 73.1% in DSP48Es, 83.8% in SRLs, 46.7% in storage overhead, 79.1% in dynamic power consumption, and 82.6% in execution time of memory partitioning. Besides, the performance is improved by 14.4%.",1558-2434;1933-7760,978-1-4503-5950-4978-1-5386-7502,10.1145/3240765.3240778,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8587682,Data Reuse;Memory Partition;Parallel Data Access;High-Level Synthesis,Registers;Partitioning algorithms;Memory management;System-on-chip;Data mining;Field programmable gate arrays;Hardware,flip-flops;heuristic programming;random-access storage,global data reuse scheme;efficient data reuse strategy;multipattern data access;reuse information;nonreusable data elements;memory banks;efficient memory partitioning algorithm;global data reuse logic;memory bandwidth;data access throughput;memory access patterns;flip-flops;heuristic algorithm,,,19,,,,,,IEEE,IEEE Conferences
A 2.86-TOPS/W Current Mirror Cross-Bar-Based Machine-Learning and Physical Unclonable Function Engine For Internet-of-Things Applications,Y. Chen; Z. Wang; A. Patil; A. Basu,"Centre of Excellence in IC Design (VIRTUS), School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798 (e-mail: ychen3@ntu.edu.sg).; Center for Automotive Electronics, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen 518055, China.; Centre of Excellence in IC Design (VIRTUS), School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798.; Centre of Excellence in IC Design (VIRTUS), School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore 639798.",IEEE Transactions on Circuits and Systems I: Regular Papers,,2019,PP,99,1,13,"Energy-efficient machine-learning and physical unclonable function (PUF) has drawn significant attention for Internet-of-Things (IoT) application in wake-up detection for bandwidth/computation reduction and privacy protection at sensor node or autonomous device. A machine-learning and PUF engine for IoT applications is presented in this paper with a current mirror cross-bar (CMCB) being a shared core circuit for both functions, leading to reduction in overhead area by 48.5x. A novel dimension expansion technique is proposed to increase weight matrix dimension beyond the physically implemented array with small hardware and energy overhead. A signed multiply-accumulation is realized in CMCB with differential current path and 2-phase conversion. The proposed engine achieves an error rate of 6.34% on MNIST digit recognition task with an energy efficiency of 2.86 TOPS/W. The PUF achieves a native bit error rate of 2.3% across corners and extremely low area per challenge response pair (CRP) of 4.17x10⁻⁵⁹ μm²/CRP due to exponentially more CRP enabled by ternary input mode.",1549-8328;1558-0806,,10.1109/TCSI.2018.2889779,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8608007,Machine learning;co-processor;extreme learning machine;low-power;cross-bar;physical unclonable function;internet-of-things;edge computing.,Machine learning;Engines;Mirrors;Hardware;Arrays;Training,,,,,,,,,,,IEEE,IEEE Early Access Articles
Start Simple and then Refine: Bias-Variance Decomposition as a Diagnosis Tool for Leakage Profiling,L. Lerman; N. Veshchikov; O. Markowitch; F. Standaert,"QualSec Group from the Université libre de Bruxelles, Bruxelles, Belgium; QualSec Group from the Université libre de Bruxelles, Bruxelles, Belgium; QualSec Group from the Université libre de Bruxelles, Bruxelles, Belgium; ICTEAM/ELEN/Crypto Group of the Université catholique de Louvain, Louvain-la-Neuve, Belgium",IEEE Transactions on Computers,,2018,67,2,268,283,"Evaluating the resistance of cryptosystems to side-channel attacks is an important research challenge. Profiled attacks reveal the degree of resilience of a cryptographic device when an adversary examines its physical characteristics. So far, evaluation laboratories launch several physical attacks (based on engineering intuitions) in order to find one strategy that eventually extracts secret information (such as a secret cryptographic key). The certification step represents a complex task because in practice the evaluators have tight memory and time constraints. In this paper, we propose a principled way of guiding the design of the most successful evaluation strategies thanks to the (bias-variance) decomposition of a security metric of profiled attacks. Our results show that we can successfully apply our framework on unprotected and protected algorithms implemented in software and hardware.",0018-9340;1557-9956;2326-3814,,10.1109/TC.2017.2731342,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7990260,Side-channel attacks;profiled attacks;bias-variance decomposition;diagnosis tool;evaluation tool,Tools;Side-channel attacks;Software;Hardware;Data mining;Complexity theory,cryptography,leakage profiling;side-channel attacks;cryptographic device;physical characteristics;engineering intuitions;secret information;secret cryptographic key;certification step;successful evaluation strategies thanks;bias-variance decomposition,,1,37,,,,,,IEEE,IEEE Journals & Magazines
5G Base Station Prototyping: Architectures Overview,A. Bakhtin; E. Omelyanchuk; V. Mikhailov; A. Semenova,"National Research University of Electronic Technology (MIET), Moscow, Russia; National Research University of Electronic Technology (MIET), Moscow, Russia; National Research University of Electronic Technology (MIET), Moscow, Russia; National Research University of Electronic Technology (MIET), Moscow, Russia",2019 IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering (EIConRus),,2019,,,1564,1568,"The implementation of 5G technologies is associated with a number of difficulties, including the cost of upgrading the infrastructure of mobile operators. Therefore the introduction of different solutions for the physical and data link layer for 5G can be based on existing LTE and LTE Advanced Pro networks. The article contains an analysis of the new requirements of 3GPP 38 series (Release 15) for the physical layer implementation in order to determine the possibility of development of a fifth-generation mobile communication base station based on fast prototyping tools. An analytical evaluation of the parameters and configuration of the necessary equipment was carried out in terms of the implementation of 5G BS architectures 1-C, 1-H, 1-O, 2-O. The performance of type 1-C BS with 5G physical layer parameters based on National Instruments testbed was demonstrated.",2376-6565;2376-6557,978-1-7281-0339-6978-1-7281-0338-9978-1-7281-0340,10.1109/EIConRus.2019.8656896,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8656896,5G;base station;fast prototyping;physical layer,5G mobile communication;Base stations;Software;Transceivers;Tools;Antenna arrays,3G mobile communication;5G mobile communication;Long Term Evolution,5G base station prototyping;mobile operators;physical data;3GPP 38 series;fifth-generation mobile communication base station;fast prototyping tools;5G BS architectures;type 1-C BS;5G physical layer parameters;data link layer;Release 15;analytical evaluation;National Instruments testbed,,,16,,,,,,IEEE,IEEE Conferences
Recent Advances and Trends in On-Board Embedded and Networked Automotive Systems,L. L. Bello; R. Mariani; S. Mubeen; S. Saponara,"University of Catania, Catania, Italy; Intel Corporation, Assago, Italy; Mälardalen University, Vasteras, Sweden; University of Pisa, Pisa, Italy",IEEE Transactions on Industrial Informatics,,2019,15,2,1038,1051,"Modern cars consist of a number of complex embedded and networked systems with steadily increasing requirements in terms of processing and communication resources. Novel automotive applications, such as automated driving, rise new needs and novel design challenges that cover a broad range of hardware/software engineering aspects. In this context, this paper provides an overview of the current technological challenges in on-board and networked automotive systems. This paper encompasses both the state-of-the-art design strategies and the upcoming hardware/software solutions for the next generation of automotive systems, with a special focus on embedded and networked technologies. In particular, this paper surveys current solutions and future trends on models and languages for automotive software development, on-board computational platforms, in-car network architectures and communication protocols, and novel design strategies for cybersecurity and functional safety.",1551-3203;1941-0050,,10.1109/TII.2018.2879544,Swedish Governmental Agency for Innovation Systems; Swedish Knowledge Foundation (KKS) via the projects HERO and DPAC; University of Catania through the project CHANCE; University of Pisa; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8521696,Automotive Ethernet;automotive software (SW);embedded systems;functional safety;on-board security;real-time (RT) networks;time-sensitive networking,Automotive engineering;Automobiles;Standards;Safety;Computer architecture;Software,automobiles;automotive electronics;automotive engineering;controller area networks;embedded systems;protocols;software engineering,networked automotive systems;modern cars;complex embedded systems;networked systems;communication resources;automotive applications;current technological challenges;state-of-the-art design strategies;embedded technologies;networked technologies;automotive software development;on-board computational platforms;in-car network architectures;novel design strategies;hardware-software engineering aspects;upcoming hardware-software solutions,,,123,,,,,,IEEE,IEEE Journals & Magazines
Characterization of the Detection Module of the INSERT SPECT/MRI Clinical System,M. Occhipinti; M. Carminati; P. Busca; A. D. Butt; G. L. Montagnani; P. Trigilio; C. Piemonte; A. Ferri; A. Gola; T. Bukki; M. Czeller; Z. Nyitrai; Z. Papp; K. Nagy; C. Fiorini,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Silicon Radiation Sensors, Fondazione Bruno Kessler, Trento, Italy; Silicon Radiation Sensors, Fondazione Bruno Kessler, Trento, Italy; Silicon Radiation Sensors, Fondazione Bruno Kessler, Trento, Italy; Mediso Medical Imaging Systems, Budapest, Hungary; Mediso Medical Imaging Systems, Budapest, Hungary; Mediso Medical Imaging Systems, Budapest, Hungary; Mediso Medical Imaging Systems, Budapest, Hungary; Mediso Medical Imaging Systems, Budapest, Hungary; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",IEEE Transactions on Radiation and Plasma Medical Sciences,,2018,2,6,554,563,"Within the vast panorama of multimodal systems for clinical diagnosis, PET/MRI has been receiving significant attention. In parallel, new technological solutions have been paving the way to simultaneous SPECT/MRI systems, whose development has been so far delayed due to the challenging compatibility between MRI, gamma-ray detectors, and collimators. This paper presents an silicon photomultiplier (SiPM)-based Anger camera designed for preclinical and clinical SPECT static inserts for standard MR scanners. The gamma-ray detector is based on a continuous CsI(Tl) scintillator readout by arrays of SiPMs and custom ASICs. The design has been adapted to fit with the limited space conditions (23 mm thickness), but also considering mutual compatibility issues. Despite these constraints and thanks to the adoption of an iterative statistical event estimation method simply requiring a flood image, the detector maintains state-of-the-art performance in terms of intrinsic spatial resolution (1.0 mm FWHM within the usable field of view) and an energy resolution below 14% FWHM at 140 keV. The experimental studies here performed show that the camera, designed to operate at 0 °C to reduce the dark current of SiPMs, can operate up to 10 °C without significant worsening of imaging performance.",2469-7311;2469-7303,,10.1109/TRPMS.2018.2864792,European Commission; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432104,Anger camera;CsI(Tl);silicon photomultiplier (SiPM);SPECT;statistical event estimation,Single photon emission computed tomography;Cameras;Detectors;Biomedical imaging;Clinical diagnosis;Photomultipliers;Multisensory integration;Photodetectors,application specific integrated circuits;biomedical equipment;biomedical MRI;cameras;collimators;gamma-ray detection;medical image processing;photomultipliers;single photon emission computed tomography;solid scintillation detectors,INSERT SPECT-MRI clinical system;detection module;continuous CsI(Tl) scintillator readout;preclinical SPECT static inserts;silicon photomultiplier-based Anger camera;gamma-ray detector;clinical diagnosis;multimodal systems,,,43,,,,,,IEEE,IEEE Journals & Magazines
A Physically Unclonable Function with 0% BER Using Soft Oxide Breakdown in 40nm CMOS,K. Chuang; E. Bury; R. Degraeve; B. Kaczer; D. Linien; I. Verbauwhede,"imec-COSIC, KU Leuven, Belgium; imec, Belgium; imec, Belgium; imec, Belgium; imec, Belgium; imec-COSIC, KU Leuven, Belgium",2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),,2018,,,157,160,"A physically unclonable function (PUF) utilizing the randomness of soft oxide breakdown (BD) locations in MOSFETs is presented. The so-called soft-BD PUF features a self-limiting mechanism to generate one single soft-BD spot in a pair of MOSFETs; the subsequent BD location is used as the source of entropy to generate a highly stable ""0"" or ""1"" bit with an equal probability of 0.5. The soft-BD PUF comprising all the essential periphery circuits are fabricated in a 40nm CMOS process. Experiments show that the PUF has no instability in most of the operating conditions using the proposed readout scheme. The native bit error rate remains zero from V<sub>DD</sub>=0.8 V to 1.5 V at room temperature and from -20°C to 120°C at nominal V<sub>DD</sub>=0.9 V. The throughput is shown to be at least 40 Mb/s and the PUF readout consumes only 51.8 fJ/bit. The randomness and uniqueness of the PUF are close to an ideal case, and no spatial correlation was observed.",,978-1-5386-6413-1978-1-5386-6414,10.1109/ASSCC.2018.8579252,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579252,,Circuit stability;Thermal stability;Electric breakdown;Stability criteria;MOSFET;Sensors,CMOS integrated circuits;integrated circuit design;MOSFET circuits;readout electronics;semiconductor device breakdown,physically unclonable function;soft oxide breakdown locations;MOSFETs;soft-BD spot;BER;CMOS process;BD location;soft-BD PUF features;periphery circuits;PUF readout scheme;native bit error rate;entropy source;self-limiting mechanism;voltage 0.8 V to 1.5 V;temperature -20.0 degC to 120.0 degC;size 40.0 nm;temperature 293 K to 298 K,,,12,,,,,,IEEE,IEEE Conferences
Efficient helper data reduction in SRAM PUFs via lossy compression,Y. Wang; M. Orshansky,"Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA, 78712; Department of Electrical and Computer Engineering, The University of Texas at Austin, Austin, TX, USA, 78712","2018 Design, Automation & Test in Europe Conference & Exhibition (DATE)",,2018,,,1453,1458,"Fuzzy extractors used in PUF-based key generation require storage of helper data in non-volatile memory (NVM). The challenge of using SRAM PUF-based key generation on FP-GAs is that high-capacity NVM, such as Flash, is not available on chip. Only expensive one-time-programmable (OTP) memory with limited capacity, such as e-fuses, can be utilized to store helper data. Our work allows a significant reduction of helper data size (HDS) through two innovative techniques. The first uses biterror-rate (BER)-aware lossy compression: by treating a fraction of reliable bits as unreliable, it effectively reduces the size of the reliability mask. Considering practical costs of error characterization, the second technique permits across-temperature HDS minimization strategies based on bit-selection (with or without subsequent compression) using room-temperature only characterization. The method is based on stochastic concentration theory and allows efficiently forming confidence intervals for true worst-case BER. We use it to enable lossy compression and key reconstruction with success arbitrarily close to certainty. Results show that compared to maskless alternative, the proposed algorithm achieves an up to 4.5X HDS reduction with only 60% raw bits. Compared to lossless compression, we achieve a further 25% total HDS reduction, at the cost of doubling the number of raw PUF bits, for a 128-bit key. When bit-specific across-temperature characterization is not possible, our method achieves a significant 2.4X helper data reduction compared to the maskless alternative for extracting a 128-bit key and a 3X reduction for a 256-bit key.",1558-1101,978-3-9819263-0-9978-3-9819263-1,10.23919/DATE.2018.8342240,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8342240,,Reliability;High definition video;Data mining;Nonvolatile memory;SRAM cells;Minimization,circuit optimisation;data compression;error statistics;field programmable gate arrays;fuzzy set theory;integrated circuit reliability;minimisation;SRAM chips;stochastic processes,nonvolatile memory;high-capacity NVM;one-time-programmable memory;reliable bits;across-temperature HDS minimization strategies;bit-selection;key reconstruction;lossless compression;raw PUF bits;across-temperature characterization;SRAM PUF-based key generation;FPGAs;fuzzy extractors;HDS reduction;bit error-rate-aware lossy compression;helper data size reduction;BER;reliability mask size;error characterization;stochastic concentration theory;true worst-case BER;temperature 293 K to 298 K;word length 256 bit;word length 128 bit,,,21,,,,,,IEEE,IEEE Conferences
